PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Ben Sheppard,IND,Q1,4.3,2.2,0.8,1.5,53.3,0.6,1.0,60.0,0.0,0.0,0.0,0.1,0.6,0.7,0.4,0.1,0.0,0.0,0.3,3.5,0.0,0.0,0.9
Landry Shamet,NYK,Q1,5.9,2.2,0.8,2.4,33.3,0.5,1.6,31.3,0.1,0.2,50.0,0.3,0.3,0.6,0.4,0.2,0.2,0.0,0.4,3.9,0.0,0.0,1.4
Bilal Coulibaly,WAS,Q1,8.2,2.1,0.6,2.0,31.3,0.0,0.6,0.0,0.9,1.0,87.5,0.1,0.9,1.0,0.5,0.3,0.6,0.4,0.5,6.8,0.0,0.0,-0.1
Nolan Traore,BKN,Q1,7.3,2.1,0.9,2.3,38.9,0.1,0.5,25.0,0.3,0.4,66.7,0.1,0.5,0.6,1.9,0.5,0.0,0.1,0.5,5.6,1.0,0.0,-0.4
AJ Johnson,DAL,Q1,4.4,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.5,0.5,0.0,0.5,3.4,0.0,0.0,0.0
Alex Caruso,OKC,Q1,4.9,2.0,0.8,1.0,75.0,0.0,0.3,0.0,0.5,0.5,100,0.0,0.3,0.3,1.0,0.3,0.5,0.0,0.3,5.1,0.0,0.0,5.0
Blake Hinson,UTA,Q1,3.1,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0
Bogdan Bogdanović,LAC,Q1,5.8,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0
Cody Williams,UTA,Q1,8.3,2.0,0.9,1.3,66.7,0.1,0.2,50.0,0.1,0.2,50.0,0.1,0.6,0.7,0.3,0.3,0.6,0.3,0.3,5.6,0.0,0.0,0.4
Dalton Knecht,LAL,Q1,3.1,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.1,0.0,0.0,-1.0
Drew Timme,LAL,Q1,4.0,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.0
Ethan Thompson,IND,Q1,7.0,2.0,1.0,2.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,-1.0
Franz Wagner,ORL,Q1,3.4,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,2.7,0.0,0.0,3.5
JD Davison,HOU,Q1,2.6,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0
Jahmai Mashack,MEM,Q1,6.5,2.0,1.0,2.0,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.6,0.4,0.6,0.0,1.0,5.3,0.0,0.0,-0.6
Jakob Poeltl,TOR,Q1,4.6,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.0
Jusuf Nurkić,UTA,Q1,7.6,2.0,0.8,2.0,40.0,0.2,0.4,50.0,0.2,0.4,50.0,0.4,2.6,3.0,1.4,0.6,0.4,0.2,0.4,8.9,2.0,0.0,-5.4
Kevin Love,UTA,Q1,4.8,2.0,0.8,2.3,33.3,0.5,2.0,25.0,0.0,0.0,0.0,0.3,3.0,3.3,0.8,0.5,0.0,0.0,0.3,6.5,0.0,0.0,6.5
Marcus Sasser,DET,Q1,3.4,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.2,0.0,0.0,0.0
Miles Kelly,DAL,Q1,2.8,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0.0,0.0,2.0
Nick Richards,CHI,Q1,6.5,2.0,0.7,2.0,33.3,0.0,0.0,0.0,0.7,1.0,66.7,0.3,1.0,1.3,0.3,1.0,0.3,1.0,1.0,7.1,0.0,0.0,-2.0
Skal Labissiere,WAS,Q1,4.0,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.4,0.0,0.0,1.0
Spencer Jones,DEN,Q1,9.1,2.0,0.7,1.8,36.4,0.5,1.2,42.9,0.2,0.3,50.0,0.3,1.0,1.3,0.2,0.3,0.3,0.3,0.8,5.5,0.0,0.0,-2.0
T.J. McConnell,IND,Q1,4.3,2.0,1.0,1.9,53.3,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.6,0.9,0.9,0.5,0.1,0.1,0.3,4.6,0.0,0.0,1.3
Terance Mann,BKN,Q1,6.7,2.0,0.9,2.0,43.8,0.1,0.6,20.0,0.1,0.3,50.0,0.1,0.5,0.6,0.4,0.5,0.3,0.0,0.1,3.6,0.0,0.0,1.3
Trendon Watford,PHI,Q1,4.6,2.0,1.0,2.1,46.7,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.7,1.3,0.6,0.1,0.3,0.0,0.7,5.1,0.0,0.0,-0.9
Dennis Schröder,CLE,Q1,6.0,1.9,0.8,2.8,27.3,0.0,0.9,0.0,0.4,0.5,75.0,0.3,0.6,0.9,1.3,0.4,0.3,0.1,0.4,5.6,0.0,0.0,-0.3
Josh Okogie,HOU,Q1,5.6,1.9,0.8,1.3,60.0,0.4,0.6,60.0,0.0,0.3,0.0,0.8,0.4,1.1,0.4,0.1,0.1,0.0,0.4,4.0,1.0,0.0,-1.3
Sam Hauser,BOS,Q1,5.8,1.9,0.6,2.3,27.8,0.6,1.9,33.3,0.0,0.0,0.0,0.1,0.6,0.8,0.4,0.0,0.1,0.1,0.3,4.1,0.0,0.0,-2.0
Mitchell Robinson,NYK,Q1,5.6,1.9,0.9,0.9,100,0.0,0.0,0.0,0.1,0.3,50.0,0.9,1.6,2.4,0.3,0.1,0.1,0.3,0.3,6.3,0.0,0.0,1.9
Robert Williams III,POR,Q1,4.4,1.9,0.9,1.3,66.7,0.1,0.1,100,0.0,0.0,0.0,0.6,1.0,1.6,0.1,0.4,0.1,0.3,0.3,4.8,1.0,0.0,-2.7
Blake Wesley,POR,Q1,4.1,1.8,0.7,1.5,44.4,0.2,0.7,25.0,0.3,0.8,40.0,0.0,0.2,0.2,0.8,0.3,0.2,0.0,0.3,3.5,0.0,0.0,-0.8
Davion Mitchell,MIA,Q1,7.1,1.8,0.8,1.7,50.0,0.2,0.7,25.0,0.0,0.0,0.0,0.0,0.8,0.8,2.2,0.3,0.0,0.0,0.2,5.8,0.0,0.0,7.5
Jordan Miller,LAC,Q1,4.2,1.8,0.5,1.4,35.7,0.1,0.4,25.0,0.7,1.0,70.0,0.1,0.2,0.3,0.1,0.9,0.1,0.0,0.2,1.7,0.0,0.0,-2.3
Kobe Sanders,LAC,Q1,6.1,1.8,0.7,2.0,35.0,0.2,1.2,16.7,0.2,0.2,100,0.1,0.7,0.8,0.5,0.3,0.1,0.1,0.3,3.8,0.0,0.0,-2.9
Oso Ighodaro,PHX,Q1,4.7,1.8,0.8,1.1,72.7,0.0,0.0,0.0,0.2,0.7,28.6,0.7,0.8,1.5,0.6,0.3,0.1,0.4,0.3,5.7,1.0,0.0,-0.6
