"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kentavious Caldwell-Pope","Mem","*","G","33","51","21.3","17.6","14.3","80","0.913","192","0.495","174","0.316","0.485","0.533","8.4","2.5","2.7","0.8","0.2","1.2","10.8","11.1","13.6","7.2","108.8","114.9"
"","Quenton Jackson","Ind","*","G","27.4","26","15.9","21.2","16.8","65","0.769","89","0.528","59","0.407","0.561","0.612","8.3","2","2","0.7","0.2","1.2","10.3","10.3","12.3","8.1","116.3","111.6"
"","Gary Trent Jr.","Mil","*","G","27.1","47","23.6","15.6","7","41","0.78","93","0.441","253","0.364","0.517","0.536","8.3","1.1","1.5","0.6","0.1","0.6","9.4","9.8","10.9","4.1","107.8","119.1"
"","Jaden Ivey","Det","","G","24","33","16.8","20.2","13.7","38","0.789","107","0.533","113","0.372","0.545","0.57","8.2","2.2","1.6","0.5","0.4","1.1","10.4","9.8","11.9","7.3","112.5","108.2"
"","Bradley Beal","Lac","*","G","32.6","6","20.2","22.3","15.7","8","0.75","29","0.379","19","0.368","0.448","0.476","8.2","0.8","1.7","0.5","0","1.5","9","9.8","10.7","4.4","92.1","111.6"
"","Moussa Diabate","Cha","*","F","24.1","50","25.2","12","15.4","136","0.662","251","0.633","2","0.5","0.634","0.657","8.2","8.6","1.6","0.7","1","0.9","16.8","9.8","18.4","7.7","141.2","106.7"
"","Ryan Kalkbrenner","Cha","*","C","24.1","43","22.9","11.9","18.5","80","0.675","196","0.765","2","0","0.758","0.759","8.2","6","0.7","0.6","1.5","1","14.2","8.9","14.9","5.7","139.3","110.3"
"","Daniss Jenkins","Det","*","G","24.5","44","16.9","21.7","16.2","73","0.795","186","0.452","113","0.381","0.497","0.536","8.1","1.9","3.2","0.9","0.2","1.3","10","11.3","13.1","8.7","112.5","106.9"
"","Ronald Holland II","Det","*","F","20.6","49","20.7","18.7","15.8","99","0.788","220","0.523","131","0.229","0.456","0.504","8.1","4.3","1.4","1.4","0.4","1.3","12.5","9.6","13.9","7.1","102.9","100.8"
"","Cason Wallace","Okc","*","G","22.3","53","26.8","13.7","11.1","42","0.738","180","0.511","204","0.348","0.517","0.532","8.1","3.1","2.2","2.1","0.3","0.9","11.1","10.3","13.4","5.7","111.1","104.4"
"","Daniel Gafford","Dal","*","F-C","27.4","38","21.4","14.3","21.2","94","0.755","185","0.632","0","0","0.632","0.674","8","6.5","0.9","0.7","1.3","1.3","14.5","8.9","15.4","6.7","125.6","103"
"","Vince Williams Jr.","Mem","","G","25.5","34","21.6","19.6","19.2","46","0.804","105","0.419","159","0.308","0.445","0.478","8","4","4.4","0.8","0.4","1.9","12","12.4","16.4","9.6","103.2","108.9"
"","Kris Dunn","Lac","*","G","31.9","54","27.5","13.2","18.2","65","0.785","181","0.569","156","0.372","0.564","0.589","8","2.9","3.4","1.5","0.1","1.4","10.9","11.4","14.3","6.2","117.7","111.2"
"","Buddy Hield","Gol","","G","33.2","44","17.5","19.7","12.3","34","0.794","105","0.6","195","0.344","0.545","0.562","8","2.5","1.5","0.8","0.2","1","10.5","9.5","12","7.1","109","110.4"
"","Bryce McGowens","Nor","*","G","23.3","32","19.9","14.5","8","77","0.766","107","0.495","64","0.453","0.564","0.615","7.9","1.9","1.5","0.6","0.2","0.5","9.8","9.4","11.3","5.7","127.7","114.6"
"","Collin Murray-Boyles","Tor","*","F","20.7","43","22.2","15","16.3","61","0.639","211","0.597","46","0.348","0.584","0.597","7.9","5","2.1","0.9","0.9","1.2","12.9","10","14.9","7.9","122.7","105.1"
"","Jose Alvarado","Nor","","G","27.8","41","21.9","15.7","14.4","24","0.833","87","0.54","193","0.363","0.543","0.558","7.9","2.8","3.1","0.9","0.1","1.1","10.7","11","13.8","7.5","112.9","114.2"
"","Luke Kennard","Atl","","G","29.6","46","20.5","12.7","11.7","35","0.914","91","0.604","149","0.497","0.692","0.713","7.9","2.2","2.1","0.7","0.1","0.7","10.1","10","12.2","6.5","133.7","116.5"
"","Justin Champagnie","Was","*","G-F","24.6","50","19.3","15.7","9.7","74","0.757","189","0.603","109","0.321","0.559","0.588","7.8","5.8","1.1","0.8","0.6","0.6","13.5","8.9","14.6","7.6","127","115.3"
"","Caris LeVert","Det","*","G","31.5","36","19.6","17.8","16.4","56","0.679","120","0.517","114","0.342","0.515","0.539","7.8","1.8","2.8","0.9","0.6","1.3","9.6","10.6","12.4","6.9","109.7","107.7"
"","Luka Garza","Bos","*","C","27.1","45","16.7","16","10.3","81","0.778","145","0.655","73","0.438","0.656","0.688","7.8","4.2","1","0.4","0.5","0.6","11.9","8.8","13","7.7","147.5","102.8"
"","Nikola Jovic","Mia","*","F","22.7","44","17.9","21.2","17.6","99","0.687","143","0.483","162","0.272","0.443","0.485","7.7","3.5","2.3","0.6","0.4","1.5","11.1","10","13.4","8.8","96.9","107.5"
"","Quinten Post","Gol","*","C","25.9","55","17","18.6","10","32","0.813","124","0.605","234","0.35","0.553","0.567","7.7","3.8","1.4","0.4","0.5","0.7","11.5","9","12.8","8.1","114.6","105.3"
"","Bogdan Bogdanovic","Lac","*","G","33.5","17","21.9","18.1","15.3","19","0.842","47","0.447","74","0.324","0.471","0.502","7.6","2.8","2.6","0.5","0.1","1.3","10.4","10.2","13","7","102.3","109.7"
"","Al Horford","Gol","*","C-F","39.7","34","20.6","16.1","12.8","19","0.895","80","0.588","145","0.338","0.536","0.553","7.6","4.9","2.3","0.8","1.1","1","12.5","9.9","14.8","8.6","114.5","109.7"
"","Amir Coffey","Pho","*","G-F","28.7","2","16.7","17.4","8.1","4","0.75","5","0.6","6","0.333","0.545","0.588","7.5","3.5","1.5","0.5","0","0.5","11","9","12.5","8.1","128.7","101.8"
"","Dennis Schroder","Cle","*","G","32.4","4","19.7","22.7","12.4","7","0.857","20","0.45","15","0.133","0.343","0.394","7.5","2.5","3.8","1.3","0.3","1.3","10","11.3","13.8","8.4","92.1","110.8"
"","De'Andre Hunter","Sac","*","F-G","28.2","2","25.5","21.4","17.1","6","0.833","10","0.2","9","0.222","0.263","0.347","7.5","1.5","0.5","0","0","2","9","8","9.5","2.8","68","118.9"
"","Micah Potter","Ind","*","C","27.9","22","18.5","15","12.7","42","0.881","38","0.632","72","0.375","0.586","0.646","7.5","4.3","1.5","0.4","0.3","0.7","11.9","9","13.3","7.9","127.6","110.7"
"","Bruce Brown","Den","*","G-F","29.5","55","24.9","14","14","83","0.771","256","0.5","88","0.352","0.507","0.543","7.5","4","2.1","1.1","0.3","1","11.5","9.6","13.6","6.4","114.6","110.4"
"","Tristan Vukcevic","Was","*","F","22.9","33","11.9","26.9","17.1","74","0.77","111","0.595","73","0.274","0.522","0.575","7.5","2.5","1.1","0.3","0.7","1.2","10","8.6","11.1","9.2","108.1","113.6"
"","Nolan Traore","Bro","*","G","19.7","31","21","18.6","19.3","43","0.767","120","0.45","89","0.337","0.474","0.507","7.5","1.6","3.5","0.5","0.4","1.6","9","11","12.5","6.6","102.1","114"
"","Terance Mann","Bro","*","G-F","29.3","46","25.3","13.7","16","64","0.813","170","0.524","113","0.345","0.521","0.558","7.5","3.3","3.4","0.7","0.2","1.2","10.8","11","14.2","6.9","118.7","112.6"
"","PJ Hall","Cha","*","C","24","9","16","18.3","20.6","22","0.773","40","0.55","2","1","0.595","0.648","7.4","5.9","0.6","0.2","0.8","1.2","13.3","8","13.9","7.4","125.7","106.5"
"","Bones Hyland","Min","*","G","25.4","47","14.8","19.7","13.3","45","0.711","102","0.598","164","0.384","0.585","0.6","7.3","1.7","2.6","0.6","0.2","0.9","9","9.9","11.6","8.6","121.9","106"
"","Luke Kornet","San","*","C-F","30.6","44","22.9","10.6","8.7","82","0.793","198","0.652","0","0","0.652","0.69","7.3","6.7","2","0.5","1.2","0.4","14","9.3","16","8","158.1","106.5"
"","Tyrese Martin","Bro","*","F","26.9","37","18.8","18.7","11.4","26","0.731","103","0.476","152","0.336","0.492","0.507","7.3","2.9","1.9","0.6","0.1","0.9","10.2","9.2","12","7.3","106.3","118.1"
"","Precious Achiuwa","Sac","*","F","26.4","48","20.3","15.4","10","74","0.527","234","0.547","54","0.296","0.528","0.535","7.1","5.4","1.1","0.8","0.5","0.7","12.6","8.3","13.7","6.9","115.5","114.2"
"","Kyle Anderson","Uta","","F-G","32.4","20","20.1","14.7","13.5","38","0.658","104","0.519","5","0.6","0.537","0.565","7.1","3.3","3.1","1.2","0.5","0.9","10.4","10.2","13.5","8.3","121.6","112.9"
"","Tre Mann","Cha","*","G","25","34","16","23.5","15.3","21","0.857","119","0.403","130","0.331","0.452","0.47","7.1","2.3","2.1","0.5","0.1","1.3","9.4","9.3","11.6","8.1","98.8","108.1"
"","Seth Curry","Gol","*","G","35.5","2","16.1","11.9","0","0","0","5","0.8","4","0.5","0.778","0.778","7","2","1.5","1","0","0","9","8.5","10.5","6.9","163.9","107.8"
"","Kenrich Williams","Okc","*","G-F","31.2","36","16.1","17.5","13.6","35","0.629","102","0.608","88","0.398","0.603","0.611","7","3.5","1.6","0.6","0.1","0.8","10.5","8.5","12","8.4","121.5","104.9"
"","Kevin Love","Uta","*","F-C","37.4","29","17.3","16.8","12.8","37","0.838","50","0.48","113","0.363","0.525","0.563","7","5.9","1.7","0.3","0.3","0.8","12.9","8.7","14.6","9.5","120.5","113.5"
"","Will Riley","Was","*","F","20","45","16.6","19.1","12.7","66","0.773","164","0.47","110","0.327","0.478","0.516","7","2.2","1.4","0.6","0.1","0.9","9.2","8.4","10.6","6.7","106.6","122.2"
"","Javonte Green","Det","*","G","32.6","53","18.5","14.7","11.2","86","0.802","120","0.558","156","0.359","0.547","0.591","7","2.7","0.7","1.3","0.3","0.7","9.7","7.7","10.5","5.1","120.2","105.8"
"","Jamaree Bouyea","Pho","*","G","26.6","28","15.6","17.8","10.3","22","0.727","105","0.581","52","0.346","0.561","0.576","6.9","1.9","1.8","0.7","0.4","0.6","8.8","8.7","10.6","7.4","120.3","114.2"
"","Jaden Hardy","Dal","","G","23.6","34","12.6","23.4","12.2","40","0.775","70","0.457","124","0.371","0.521","0.551","6.9","1.4","0.9","0.3","0.1","0.8","8.2","7.7","9.1","6.5","104.4","110.8"
"","Kobe Sanders","Lac","*","G","23.7","46","21.1","16","19","50","0.8","137","0.496","127","0.37","0.525","0.554","6.9","2.6","1.7","0.6","0.1","1.3","9.5","8.6","11.2","5.9","103.8","110.7"
"","Patrick Williams","Chi","*","F","24.5","51","19.2","17","12.6","48","0.688","151","0.384","176","0.386","0.489","0.507","6.9","2.9","1.3","0.6","0.3","0.9","9.9","8.2","11.2","6.2","101.3","115.7"
"","Andre Drummond","Phi","*","C","32.5","40","19.8","15.2","15.5","62","0.629","166","0.542","51","0.373","0.546","0.565","6.9","8.6","0.9","0.6","0.9","1","15.5","7.8","16.4","7.6","123.7","104.8"
"","Jaxson Hayes","Lal","*","C-F","25.7","45","17.7","12.3","12.5","78","0.641","165","0.77","2","1","0.778","0.77","6.9","3.9","1","0.4","0.6","0.5","10.8","7.8","11.7","6.8","151.4","108.4"
"","Walter Clayton Jr.","Uta","","G","22.9","45","18","17.3","18.2","62","0.935","113","0.513","143","0.308","0.484","0.54","6.8","2","3.2","0.5","0.3","1.3","8.8","10","11.9","7.8","109.8","117.3"
"","Brook Lopez","Lac","*","C","37.9","47","18.6","17.4","11.6","34","0.853","90","0.467","198","0.348","0.505","0.528","6.8","2.6","1","0.5","1.1","0.8","9.4","7.8","10.4","5.6","103.3","110.5"
"","Jamal Shead","Tor","*","G","23.6","55","22.3","16.1","18.2","79","0.759","160","0.413","190","0.321","0.45","0.487","6.8","1.9","5.4","1","0.2","1.4","8.7","12.2","14.1","7.4","109.4","109.4"
"","Ryan Nembhard","Dal","*","G","22.9","38","18.8","18","18.3","13","0.769","158","0.456","87","0.379","0.496","0.505","6.7","1.8","4.9","0.3","0","1.4","8.5","11.6","13.4","8.3","106.7","113"
"","Cole Anthony","Mil","*","G","25.7","35","15","25.8","21.9","26","0.615","159","0.478","72","0.306","0.472","0.483","6.7","2.5","3.5","0.6","0.3","1.9","9.2","10.1","12.6","10.4","96.2","105.5"
"","Nae'Qwan Tomlin","Cle","*","F","25.2","44","17.1","15.3","6.7","51","0.745","151","0.642","87","0.218","0.527","0.555","6.6","3.1","0.9","0.8","0.6","0.4","9.7","7.5","10.6","6.2","123.6","106.1"
"","Jared McCain","Phi","","G","22","37","16.8","18.6","11.5","25","0.88","112","0.393","119","0.378","0.483","0.506","6.6","2","1.7","0.6","0.1","0.8","8.6","8.3","10.3","6.7","103.9","112.8"
"","Nique Clifford","Sac","*","G","24","52","21.3","15.9","16","59","0.712","187","0.449","139","0.317","0.46","0.486","6.6","3.1","1.7","0.7","0.3","1.2","9.7","8.2","11.3","6.1","97.5","115.8"
"","Will Richard","Gol","*","G","23.1","49","19.1","13.9","14.2","45","0.822","93","0.667","154","0.351","0.579","0.605","6.6","2.5","1.4","1.2","0.1","0.8","9.1","8","10.4","6","119","108.1"
"","Sidy Cissoko","Por","*","G","21.9","50","22.3","12.8","16.8","74","0.703","102","0.539","165","0.327","0.509","0.541","6.5","2.6","1.5","0.8","0.3","1.1","9.1","8","10.6","5.3","110.5","109.4"
"","Ben Sheppard","Ind","*","G","24.6","44","21.4","13.2","9","35","0.771","93","0.495","159","0.346","0.51","0.531","6.5","3.1","1.8","0.5","0.1","0.6","9.6","8.3","11.4","6.2","111.9","113.7"
"","Gradey Dick","Tor","*","G-F","22.2","55","16.1","17.3","9.8","71","0.873","142","0.542","153","0.314","0.505","0.552","6.5","2.2","0.7","0.7","0.1","0.6","8.7","7.2","9.4","5.4","111.2","108.8"
"","Grant Williams","Cha","*","F","27.2","14","19","15.3","11.7","27","0.815","23","0.565","52","0.269","0.453","0.518","6.4","4","1.6","0.4","0.3","0.7","10.4","8","12","7.3","117.6","110.7"
"","Robert Williams III","Por","*","C-F","28.3","38","16.3","12.1","16.6","28","0.714","129","0.791","16","0.438","0.776","0.779","6.4","6.5","1.1","0.6","1.4","0.8","12.9","7.6","14.1","8.8","145.5","107.7"
"","Isaiah Jackson","Ind","","F","24.1","38","16.8","16","20.6","74","0.689","164","0.585","1","0","0.582","0.615","6.4","5.6","0.8","0.7","0.8","1.1","11.9","7.2","12.8","7.3","120","100.6"
"","Olivier-Maxence Prosper","Mem","*","F","23.6","29","13.7","17.1","13.9","46","0.87","69","0.551","55","0.418","0.585","0.641","6.4","2.9","0.7","0.3","0.1","0.7","9.2","7","9.9","6.9","123.4","113"
"","Mac McClung","Ind","","G","27.1","3","11.3","27.2","9.8","4","0.75","8","0.625","10","0.2","0.444","0.481","6.3","1.3","0.3","1.7","0.3","0.7","7.7","6.7","8","4.8","89.3","96"
"","Julian Strawther","Den","*","G","23.8","32","13.8","19.5","10.9","51","0.784","86","0.558","69","0.319","0.523","0.569","6.3","2.1","1","0.4","0.1","0.6","8.4","7.3","9.3","6.9","111.7","111.6"
"","Pat Spencer","Gol","*","G","29.6","39","15.6","19.3","17.1","34","0.765","141","0.454","77","0.403","0.507","0.53","6.3","2.3","3.2","0.6","0.1","1.2","8.6","9.5","11.8","9.2","112.7","111.3"
"","Paul Reed","Det","*","F","26.7","38","12.8","19.5","17.8","47","0.596","145","0.628","26","0.385","0.62","0.626","6.3","4.2","1.3","0.9","0.7","1","10.6","7.6","11.8","10.2","123.4","97.3"
"","Tidjane Salaun","Cha","*","F","20.5","32","16","14.9","14.4","34","0.706","71","0.592","71","0.437","0.623","0.64","6.3","4.3","0.8","0.4","0.2","0.8","10.6","7.1","11.4","7","121.8","106.3"
"","Alex Caruso","Okc","*","G","32","37","18.4","15.2","12.9","32","0.781","76","0.605","120","0.325","0.533","0.557","6.3","2.6","2","1.4","0.4","0.8","9","8.4","11","7","114.4","104.2"
"","Jaylin Williams","Okc","*","F","23.6","41","19.3","15.6","16.2","59","0.763","61","0.525","156","0.321","0.493","0.533","6.3","4.9","2.5","0.6","0.7","1","11.2","8.9","13.8","8.8","110.9","98.3"
"","Trendon Watford","Phi","*","G-F","25.3","32","16.6","16.8","18.8","43","0.721","126","0.548","29","0.345","0.542","0.572","6.2","3.4","2.7","0.3","0.3","1.1","9.7","8.9","12.3","9.3","116.3","106.3"
"","Ja'Kobe Walter","Tor","*","G","21.4","45","18.4","14","9.9","45","0.8","83","0.566","143","0.35","0.54","0.57","6.2","2.2","1","0.9","0.2","0.6","8.4","7.2","9.4","5.2","115.7","106.3"
"","Drake Powell","Bro","*","G-F","20.4","42","19.1","14.9","16.7","55","0.891","102","0.569","107","0.299","0.507","0.56","6.2","1.7","1.5","0.5","0.2","1","7.9","7.8","9.5","5.3","107.7","115.8"
"","Devin Carter","Sac","*","G","23.9","20","13.4","23.2","15.2","33","0.818","63","0.54","48","0.188","0.428","0.486","6.1","2.2","1.9","0.6","0.3","1","8.3","8","10.2","8.8","101.7","114.8"
"","Kris Murray","Por","*","F","25.5","34","25.7","10.4","15","42","0.738","97","0.598","78","0.256","0.503","0.535","6.1","4","1.2","1.2","0.4","0.9","10.1","7.3","11.3","4.8","115","113"
"","Taurean Prince","Mil","*","F","31.9","8","21.1","11.6","11.5","3","1","10","0.5","28","0.429","0.605","0.623","6.1","1.6","1","0.8","0.3","0.6","7.8","7.1","8.8","4.1","113.6","110"
"","Dru Smith","Mia","*","G","28.1","55","17.2","15.4","14.6","92","0.837","161","0.484","114","0.307","0.475","0.536","6.1","2.6","2.8","1.5","0.3","0.9","8.7","8.9","11.5","8.2","117.6","105.6"
"","Kobe Brown","Ind","*","F","26.1","2","23.5","10.7","17.8","2","0.5","7","0.571","2","0.5","0.611","0.607","6","6.5","2","0.5","0","1","12.5","8","14.5","7.3","124","104.2"
"","Daeqwon Plowden","Sac","*","G-F","27.5","7","22.9","14.3","7.6","4","1","16","0.625","32","0.188","0.396","0.422","6","3.3","1.6","0.3","0.1","0.6","9.3","7.6","10.9","5.5","104.4","120.2"
"","KJ Simpson","Cha","*","G","23.5","14","15.9","22.6","21.2","16","0.625","50","0.38","39","0.308","0.416","0.437","6","2.1","2.5","1.1","0","1.7","8.1","8.5","10.6","7.9","89.9","110.2"
"","Spencer Jones","Den","*","F","24.7","46","23.6","9.8","11.7","45","0.622","80","0.638","116","0.414","0.628","0.635","6","3.1","0.8","0.9","0.4","0.6","9.1","6.8","9.9","4.2","127.5","109.3"
"","Ryan Dunn","Pho","*","F","23.1","48","19.5","14.5","14.7","34","0.588","141","0.539","120","0.325","0.515","0.524","6","4.1","1.6","0.9","0.4","0.9","10.1","7.6","11.7","7","111.6","106.1"
"","Javon Small","Mem","*","G","23.2","20","14.8","19.3","17.3","25","0.8","55","0.418","50","0.36","0.476","0.517","6","2.2","3.2","0.4","0.2","1.1","8.2","9.2","11.4","9.4","112.2","112.2"
"","Cody Williams","Uta","*","F","21.2","42","19.5","13.1","10.6","32","0.625","151","0.596","69","0.232","0.518","0.53","5.9","2.3","0.9","0.6","0.4","0.6","8.2","6.8","9.1","4.7","108","118"
"","Goga Bitadze","Orl","*","C-F","26.6","42","16","12.2","12.8","52","0.731","140","0.721","10","0.2","0.693","0.711","5.9","5","1.2","0.7","1.2","0.5","10.9","7","12.1","8.2","148.4","102.3"
"","Nick Smith Jr.","Lal","*","G","21.8","25","12.7","21.4","12.5","11","0.636","64","0.453","69","0.391","0.523","0.53","5.8","0.8","1.1","0.4","0.1","0.8","6.6","7","7.8","5.4","101.2","114.5"
"","Sharife Cooper","Was","*","G","24.7","12","14.2","17.8","25.6","7","0.714","33","0.576","19","0.474","0.625","0.635","5.8","2.3","1.9","0.3","0.2","1.5","8.1","7.8","10","8.3","106.1","117.5"
"","Josh Minott","Bos","*","F","23.2","33","15.9","13.8","12.8","26","0.769","59","0.593","77","0.442","0.632","0.651","5.8","3.6","1","0.7","0.4","0.6","9.4","6.8","10.4","6.9","133.3","105.7"
"","Dean Wade","Cle","*","F-C","29.2","43","22.8","9.8","6","36","0.75","54","0.63","150","0.34","0.542","0.564","5.8","4.1","1.6","0.8","0.4","0.3","9.9","7.3","11.5","5.9","127.8","111.1"
"","Steven Adams","Hou","*","C","32.6","32","22.8","12","20.1","81","0.58","139","0.504","0","0","0.504","0.535","5.8","8.6","1.5","0.7","0.6","1.1","14.5","7.3","16","7.4","124.8","107.6"
"","Aaron Holiday","Hou","*","G","29.4","35","13.3","17.7","11.5","33","0.848","53","0.434","108","0.389","0.534","0.57","5.7","0.9","1","0.5","0.1","0.6","6.6","6.7","7.5","5.2","118.5","108.5"
"","Gui Santos","Gol","*","F","23.6","44","14.7","15.9","18.6","40","0.625","83","0.699","100","0.37","0.62","0.628","5.7","2.9","1.5","0.7","0.3","1","8.7","7.2","10.1","7.9","117.2","105.3"
"","Kasparas Jakucionis","Mia","*","G","19.7","29","17","13.7","17.4","27","0.889","46","0.304","82","0.451","0.543","0.583","5.6","2.4","2.4","0.7","0.1","0.9","8","8","10.4","7.5","119.3","105.6"
"","Jordan Walsh","Bos","*","G","21.9","48","18.5","11.9","11.1","45","0.778","113","0.619","86","0.372","0.593","0.619","5.6","4.3","0.9","0.9","0.5","0.5","10","6.5","10.8","6","132.7","102.5"
"","Blake Wesley","Por","*","G","22.9","13","15.4","18.1","19.2","16","0.5","45","0.489","22","0.318","0.485","0.493","5.6","1.9","3","1","0.1","1.2","7.5","8.6","10.5","8.2","105.7","111"
"","Keon Ellis","Sac","","G","26.1","43","17.6","13.7","9.1","32","0.625","65","0.462","144","0.368","0.524","0.536","5.6","1.3","0.6","1.1","0.5","0.5","6.8","6.2","7.4","3.7","105.9","115.8"
"","Yves Missi","Nor","*","C","21.8","47","19.3","12.7","14.6","65","0.569","209","0.541","1","0","0.538","0.551","5.6","5.6","1.2","0.3","1.4","0.8","11.2","6.8","12.4","6.9","125.2","114.2"
"","Sion James","Cha","*","G","23.2","55","23.9","10.7","16.6","76","0.855","103","0.398","148","0.365","0.486","0.543","5.6","3.4","1.9","0.5","0.3","0.9","9.1","7.6","11","5.5","114.5","111.4"
"","Eric Gordon","Phi","*","G","37.1","6","12.3","14.3","12.4","2","0.5","7","0.571","14","0.571","0.762","0.754","5.5","0.3","0.5","0.7","0.2","0.5","5.8","6","6.3","3.1","130.3","118.1"
"","Oso Ighodaro","Pho","*","F","23.6","55","20","12","24.1","71","0.493","213","0.634","1","0","0.631","0.622","5.5","4.5","1.8","0.9","0.6","1.2","10.1","7.3","11.9","7.1","117.5","103.6"
"","Marcus Sasser","Det","*","G","25.4","17","9.8","21.2","14.7","11","0.909","25","0.56","44","0.409","0.594","0.623","5.4","0.9","1.9","0.6","0.1","0.7","6.3","7.4","8.2","8.6","124.2","106"
"","Jevon Carter","Chi","","G","30.4","23","11.1","19.6","9.6","10","1","25","0.36","78","0.41","0.553","0.577","5.4","1.1","0.8","0.6","0.1","0.5","6.5","6.2","7.3","6.1","111.3","114.6"
"","Jalen Pickett","Den","*","G","26.3","39","17.7","14.6","12.9","11","0.909","88","0.466","107","0.374","0.518","0.53","5.4","2.6","2.5","0.3","0.1","0.7","8.1","8","10.6","7.4","114.4","116.3"
"","Dylan Cardwell","Sac","*","C","24.2","29","21.2","10.6","17.6","40","0.55","111","0.604","1","0","0.598","0.602","5.4","7.7","1.2","0.8","1.6","0.8","13.1","6.6","14.3","6.9","131.8","102.7"
"","Jalen Wilson","Bro","*","F","25.3","35","14.7","17.1","10.5","46","0.761","63","0.381","99","0.354","0.472","0.516","5.4","1.6","0.6","0.4","0.1","0.5","6.9","6","7.6","4.7","102.8","113.9"
